month,rate
2019-04-01,69.36
2019-05-01,70.0
2019-06-01,69.58
2019-07-01,68.87
2019-08-01,71.4
2019-09-01,71.17
2019-10-01,70.95
2019-11-01,71.64
2019-12-01,71.21
2020-01-01,71.2
2020-02-01,71.77
2020-03-01,75.02
2020-04-01,76.2
2020-05-01,75.7
2020-06-01,75.61
2020-07-01,74.92
2020-08-01,74.21
2020-09-01,73.5
2020-10-01,73.62
2020-11-01,74.07
2020-12-01,73.53
2021-01-01,73.1
2021-02-01,72.88
2021-03-01,72.83
2021-04-01,74.64
2021-05-01,73.09
2021-06-01,74.06
2021-07-01,74.52
2021-08-01,74.0
2021-09-01,73.8
2021-10-01,75.03
2021-11-01,74.59
2021-12-01,75.4
2022-01-01,74.5
2022-02-01,75.53
2022-03-01,76.12
2022-04-01,76.31
2022-05-01,77.33
2022-06-01,78.3
2022-07-01,79.62
2022-08-01,79.75
2022-09-01,80.5
2022-10-01,82.38
2022-11-01,81.27
2022-12-01,82.61
2023-01-01,81.71
2023-02-01,82.48
2023-03-01,82.25
